SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523672,FLEX FOODS  ,B ,Q,69.00,69.00,63.90,64.65,64.65,74.05,1047,114596,7544878.00,
523676,GOLKUNDA DIA,T ,Q,15.00,15.00,15.00,15.00,15.00,14.50,2,105,1575.00,
523694,APCOTEX IND ,B ,Q,630.00,640.00,612.00,621.50,621.50,622.25,336,5097,3204571.00,
523696,FORTIS MLR  ,B ,Q,53.00,55.50,52.50,54.95,54.50,52.95,191,52124,2848076.00,
523704,MASTEK LTD  ,B ,Q,184.00,191.80,184.00,187.70,187.70,184.00,1275,37663,7088397.00,
523708,EIMCO ELECON,T ,Q,644.00,659.00,616.00,628.25,616.00,636.00,20,350,225071.00,
523710,SAYAJI HOTEL,T ,Q,136.00,140.00,136.00,138.60,138.00,139.00,6,574,78260.00,
523716,ASHIANA HOU ,B ,Q,214.20,218.00,212.00,214.25,214.25,212.10,215,8288,1784017.00,
523722,SVAM SOFTWAR,B ,Q,0.51,0.51,0.51,0.51,0.51,0.51,2,300,153.00,
523724,VIJAY SHA.BU,B ,Q,10.59,10.90,10.40,10.44,10.44,10.21,65,13694,146214.00,
523728,SIDDHARTH TB,T ,Q,8.17,8.48,7.77,7.77,7.77,8.17,5,508,3950.00,
523732,ECO BOARD IN,B ,Q,7.95,7.95,7.55,7.93,7.93,7.79,13,2600,20280.00,
523736,DPL         ,B ,Q,99.60,105.15,97.10,98.35,98.35,94.10,2604,181014,18372619.00,
523752,IO SYSTEM   ,B ,Q,3.29,3.29,3.29,3.29,3.29,3.46,1,50,164.00,
523754,EPC INDUS.  ,B ,Q,179.00,183.00,175.10,175.60,175.50,178.50,334,32049,5696130.00,
523756,SREIINFRA   ,A ,Q,38.60,40.95,38.60,40.30,40.30,38.25,2628,511987,20599492.00,
523768,GUJ.BOROSIL ,B ,Q,27.30,32.20,26.40,31.70,31.70,26.85,1885,597002,18238939.00,
